Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
29,"3,2","3,5","3,6","3,4",C,"0,0",ENE,"2,4",ENE,"0,8","1,1",-,10,10,10,"10,0",.,10,.
30,"3,4","4,1","4,2","3,9",C,"0,0",SSE,"4,4",SSE,"6,7","3,7",-,0,0,0,"0,0","0,0",10,0
31,"4,3","5,0","4,9","4,7",SSE,"6,7",SSE,"6,7",SSE,"4,4","5,9",-,0,5,5,"3,3",.,9,.
dek1,"3,2","3,3","3,3","3,3","2,5","2,5","2,9","2,6",-,"3,9","6,5","4,2","4,9","8,8",,,,,
dek2,"4,1","4,3","4,4","4,3","2,5","3,5","3,5","3,1",-,"6,7","8,1","4,9","6,6","14,2",,,,,
dek3,"3,5","4,0","4,0","3,8","1,7","2,4","2,4","2,0",-,"6,2","5,9","6,7","6,3","0,4",,,,,
mes,"3,6","3,9","3,9","3,8","2,2","2,8","2,9","2,5",-,"5,6","6,8","5,3","5,9","23,4",,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,ФЕБРУАР,2017,,,,,,,,,,,
1,"1008,0","1007,9","1008,3","1008,1","7,4","0,8","6,6","0,6","1,9","6,9","7,0","5,7",80,62,64,69,,,
2,"1007,5","1005,8","1004,6","1006,0","12,0","6,3","5,7","2,6","7,8","11,6","10,0","9,9",70,58,60,63,,,
3,"1001,2","998,8","998,6","999,5","16,7","8,4","8,3","1,9","10,0","16,1","12,4","12,7",62,40,62,55,,,
4,"995,8","994,2","992,8","994,3","14,8","9,1","5,7","4,6","9,6","11,6","10,2","10,4",69,79,72,73,,,
5,"991,8","994,6","992,8","993,1","12,8","8,2","4,6","1,6","10,2","11,6","8,2","9,5",66,57,68,64,,,
